,test_loss,test_acc,test_f1,test_ck,test_pr,test_rc,test_macc,test_mf1,dataset,fold
3,0.652019202709198,0.7825608849525452,0.7699329853057861,,0.8174565434455872,0.7825608849525452,0.6089048385620117,0.5872266888618469,sleepedf,-1
5,0.6367349624633789,0.7891740202903748,0.7770977020263672,,0.8213592171669006,0.7891740202903748,0.6171734929084778,0.5931077599525452,sleepedf,-1
7,0.664152979850769,0.7848187685012817,0.7713892459869385,,0.8096966743469238,0.7848187685012817,0.6065120100975037,0.5863180756568909,sleepedf,-1
9,0.6200340390205383,0.7966159582138062,0.7862032651901245,,0.8251320123672485,0.7966159582138062,0.6312546133995056,0.6068748235702515,sleepedf,-1
11,0.6423963904380798,0.7937818765640259,0.7844288349151611,,0.8267873525619507,0.7937818765640259,0.6348758339881897,0.6115312576293945,sleepedf,-1
13,0.6203882098197937,0.7944850921630859,0.783698320388794,,0.8237370252609253,0.7944850921630859,0.6153886318206787,0.5926914811134338,sleepedf,-1
15,0.6162753105163574,0.7911107540130615,0.7793785929679871,,0.818520188331604,0.7911107540130615,0.6307953000068665,0.607387900352478,sleepedf,-1
17,0.6852311491966248,0.7882649302482605,0.7755666971206665,,0.8152202367782593,0.7882649302482605,0.6197024583816528,0.5933769345283508,sleepedf,-1
19,0.6028798222541809,0.7998854517936707,0.7895393967628479,,0.8257155418395996,0.7998854517936707,0.6356124877929688,0.6118862628936768,sleepedf,-1
21,0.6650964021682739,0.788787841796875,0.781341552734375,,0.825473964214325,0.788787841796875,0.6413893699645996,0.6154759526252747,sleepedf,-1

